group_id,l0,f3483f,eff6a,5992d,b6cc0,6570d,efc56,a45ca,"""6e692"""
0,0.430635838150289,,,,,,,,
1,,1.31370328425821,2.67224880382775,3.38966480446927,1.83105128800186,3.94406548431105,3.952,4.72183098591549,1.03636363636364
2,1.26448598130841,,,,,,,,
3,,2.92453682783552,1.50692520775623,1.46842878120411,5.35709244883557,0.915430267062315,0.955769230769231,0.904328018223235,0.936241610738255
4,0.629160063391442,,,,,,,,
5,,1.12241887905605,0.760233918128655,0.396739130434783,1.09060402684564,0.609756097560976,0.640522875816993,0.656934306569343,3.03722084367246
6,0.825127334465195,,,,,,,,
7,,3.20677966101695,2.79446640316206,2.30188679245283,1.06913996627319,2.64335664335664,2.55769230769231,0.758575197889182,1.15546218487395
8,0.477544910179641,,,,,,,,
9,,0.791055206149546,0.8120590121873,1.06189555125725,5.70526315789474,1.14,1.14958448753463,3.31700680272109,2.72665148063781
10,0.288079470198675,,,,,,,,
11,,5.79273216689098,5.3898916967509,5.5761421319797,1.31660231660232,0.770114942528736,0.716358839050132,4.19241982507289,1.4850455136541
12,0.674528301886793,,,,,,,,
13,,1.32077922077922,1.32816901408451,1.30252100840336,0.8578352180937,7.53505007153076,7.58344640434193,1.08333333333333,
14,0.306930693069307,,,,,,,,
15,,0.821482602118003,0.862026862026862,0.880403458213256,1.77410468319559,1.34707446808511,1.9300176056338,3.42395209580838,
16,0.823287671232877,,,,,,,,
17,,3.97976878612717,1.92911392405063,1.97703549060543,0.828571428571429,1.93838862559242,1.04683195592287,,
18,0.690515806988353,,,,,,,,
19,,0.93986013986014,0.82716049382716,0.803076923076923,0.639669421487603,3.98699421965318,3.41845140032949,,
20,0.230357142857143,,,,,,,,
21,,0.63046357615894,0.632760898282695,0.674473067915691,4.24341085271318,,,,
22,0.339041095890411,,,,,,,,
23,,3.8890977443609,5.06508875739645,4.87149917627677,,,,,
24,0.938563327032136,,,,,,,,
25,,1.13986013986014,,,,,,,
26,,,,,,,,,
27,,0.732432432432432,,,,,,,
28,,,,,,,,,
29,,6.36262513904338,,,,,,,
30,,,,,,,,,
31,,1.34470158343484,,,,,,,
32,,,,,,,,,
33,,3.83311772315653,,,,,,,
34,,,,,,,,,
35,,1.04581901489118,,,,,,,
36,,,,,,,,,
37,,4.06729264475743,,,,,,,
38,,,,,,,,,
39,,1.95839172146168,,,,,,,
