group_id,l0,FXX,VEL,GRIT,VICE,DISH: ESPN,NBAT,SPK,REVOLT,TRU,FUSE,LOGO,DISH: NFLN,HIST,TRAV,FX,NHL,FS1,HLN,COM,TLC
0,0.674832962138085,,,,,,,,,,,,,,,,,,,,
1,,1.5929203539823,1.7,1.06273062730627,1.01342281879195,2.66666666666667,1.09375,0.982532751091703,5.53450439146801,2.28571428571429,2.78247734138973,1.36434108527132,1.52173913043478,1.44117647058824,3.73267326732673,3.81818181818182,1.02912621359223,1.12048192771084,1.06741573033708,1,0.72156862745098
2,1.23611111111111,,,,,,,,,,,,,,,,,,,,
3,,4.24832214765101,8.2910447761194,2.88581314878893,1.31791907514451,1.05084745762712,3.89759036144578,,1.31047381546135,0.625,1.30985915492958,1.69035532994924,1.075,1.20967741935484,1.52631578947368,,0.688622754491018,0.813953488372093,2.92857142857143,52.52,2.21256038647343
4,0.8,,,,,,,,,,,,,,,,,,,,
5,,1.00538358008075,1.61744966442953,1.30985915492958,0.891625615763547,0.967391304347826,1.04166666666667,,0.876765083440308,,0.803532008830022,0.653061224489796,,2.66321243523316,2.03061224489796,,2.81210191082803,3.06293706293706,1.64502164502165,1.77777777777778,0.457627118644068
6,0.345744680851064,,,,,,,,,,,,,,,,,,,,
7,,0.881918819188192,1.22222222222222,0.917721518987342,3.64634146341463,,1.61111111111111,,3.77525252525252,,2.07964601769911,0.631954350927247,,1.78301886792453,,,0.957264957264957,,,1.03225806451613,
8,5.93333333333333,,,,,,,,,,,,,,,,,,,,
9,,0.316865417376491,15.6,3.36912751677852,1.06329113924051,,0.790322580645161,,0.924016282225237,,0.830618892508143,4.65112781954887,,,,,2.33601983880967,,,,
10,0.890453834115806,,,,,,,,,,,,,,,,,,,,
11,,1.7283950617284,1.17694805194805,1.04823151125402,0.901960784313726,,1.14769647696477,,0.674033149171271,,0.482758620689655,,,,,,,,,,
12,1.40084388185654,,,,,,,,,,,,,,,,,,,,
13,,0.676923076923077,0.743362831858407,1.03703703703704,1.00806451612903,,0.795045045045045,,2.6145251396648,,2.48484848484848,,,,,,,,,,
14,0.450867052023121,,,,,,,,,,,,,,,,,,,,
15,,1.24290220820189,8.00953895071542,,0.687022900763359,,7.14754098360656,,,,,,,,,,,,,,
16,1.14933333333333,,,,,,,,,,,,,,,,,,,,
17,,0.72,1.49859943977591,,2.07142857142857,,1.33942558746736,,,,,,,,,,,,,,
18,0.317948717948718,,,,,,,,,,,,,,,,,,,,
19,,9.62424242424243,4.35820895522388,,1.71848013816926,,3.70674846625767,,,,,,,,,,,,,,
20,7.67323943661972,,,,,,,,,,,,,,,,,,,,
21,,1.56739811912226,,,0.919093851132686,,1.08333333333333,,,,,,,,,,,,,,
22,1.3764192139738,,,,,,,,,,,,,,,,,,,,
23,,5.09967845659164,,,0.722950819672131,,3.97982708933718,,,,,,,,,,,,,,
24,0.441941074523397,,,,,,,,,,,,,,,,,,,,
25,,,,,2.54794520547945,,8.97684515195369,,,,,,,,,,,,,,
26,1.06,,,,,,,,,,,,,,,,,,,,
27,,,,,0.970890410958904,,1.31648936170213,,,,,,,,,,,,,,
28,0.629160063391442,,,,,,,,,,,,,,,,,,,,
29,,,,,0.794776119402985,,0.873581847649919,,,,,,,,,,,,,,
30,0.854098360655738,,,,,,,,,,,,,,,,,,,,
31,,,,,1.0711743772242,,7.72711571675302,,,,,,,,,,,,,,
32,0.443573667711599,,,,,,,,,,,,,,,,,,,,
33,,,,,,,1.72187104930468,,,,,,,,,,,,,,
34,0.283305227655986,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,
36,0.641476274165202,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,
38,0.294511378848728,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,
40,0.823287671232877,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,
42,0.699029126213592,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,
44,0.314606741573034,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,
46,0.714285714285714,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,
48,0.230228471001757,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,
50,0.939542483660131,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,
52,0.399621212121212,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,
54,0.482242990654206,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,
56,0.938563327032136,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,
58,0.320537428023033,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,
60,0.932270916334661,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,
62,0.320366132723112,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,
64,0.894409937888199,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,
66,0.627906976744186,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,
68,0.855555555555556,,,,,,,,,,,,,,,,,,,,
